2024-03-09 04:10:37,083 INFO    StreamThr :17875 [internal.py:wandb_internal():86] W&B internal server running at pid: 17875, started at: 2024-03-09 04:10:37.082947
2024-03-09 04:10:37,084 DEBUG   HandlerThread:17875 [handler.py:handle_request():146] handle_request: status
2024-03-09 04:10:37,089 INFO    WriterThread:17875 [datastore.py:open_for_write():87] open: /Users/greasyfinger/Documents/nlp_a2/task_1/wandb/run-20240309_041037-5zfllheo/run-5zfllheo.wandb
2024-03-09 04:10:37,089 DEBUG   SenderThread:17875 [sender.py:send():382] send: header
2024-03-09 04:10:37,111 DEBUG   SenderThread:17875 [sender.py:send():382] send: run
2024-03-09 04:10:37,803 INFO    SenderThread:17875 [dir_watcher.py:__init__():211] watching files in: /Users/greasyfinger/Documents/nlp_a2/task_1/wandb/run-20240309_041037-5zfllheo/files
2024-03-09 04:10:37,803 INFO    SenderThread:17875 [sender.py:_start_run_threads():1136] run started: 5zfllheo with start time 1709937637.083973
2024-03-09 04:10:37,810 DEBUG   HandlerThread:17875 [handler.py:handle_request():146] handle_request: check_version
2024-03-09 04:10:37,811 DEBUG   SenderThread:17875 [sender.py:send_request():409] send_request: check_version
2024-03-09 04:10:38,060 DEBUG   HandlerThread:17875 [handler.py:handle_request():146] handle_request: run_start
2024-03-09 04:10:38,070 DEBUG   HandlerThread:17875 [system_info.py:__init__():27] System info init
2024-03-09 04:10:38,071 DEBUG   HandlerThread:17875 [system_info.py:__init__():42] System info init done
2024-03-09 04:10:38,071 INFO    HandlerThread:17875 [system_monitor.py:start():194] Starting system monitor
2024-03-09 04:10:38,071 INFO    SystemMonitor:17875 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-09 04:10:38,071 INFO    HandlerThread:17875 [system_monitor.py:probe():214] Collecting system info
2024-03-09 04:10:38,072 INFO    SystemMonitor:17875 [interfaces.py:start():190] Started cpu monitoring
2024-03-09 04:10:38,072 DEBUG   HandlerThread:17875 [system_info.py:probe():151] Probing system
2024-03-09 04:10:38,072 INFO    SystemMonitor:17875 [interfaces.py:start():190] Started disk monitoring
2024-03-09 04:10:38,073 INFO    SystemMonitor:17875 [interfaces.py:start():190] Started gpuapple monitoring
2024-03-09 04:10:38,078 INFO    SystemMonitor:17875 [interfaces.py:start():190] Started memory monitoring
2024-03-09 04:10:38,080 INFO    SystemMonitor:17875 [interfaces.py:start():190] Started network monitoring
2024-03-09 04:10:38,087 DEBUG   HandlerThread:17875 [system_info.py:_probe_git():136] Probing git
2024-03-09 04:10:38,115 DEBUG   HandlerThread:17875 [system_info.py:_probe_git():144] Probing git done
